country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	46.6225	48.6227	50.6102	53.2837	55.1434	57.162	59.0116	60.8283	61.885	63.254	64.8662	66.6921	68.4502	69.6292	2023
1834	Sub-Saharan Africa	36.3889	37.8761	39.6539	40.9774	42.7947	44.9052	45.905	46.8385	46.7915	48.3863	50.8706	53.4888	56.1381	58.004	2023
1833	Northern Africa and Western Asia	40.249	43.0885	46.3308	49.2163	51.8606	54.9656	57.743	60.7022	63.1546	65.0752	66.628	68.1069	69.338	70.3293	2023
1831	Central and Southern Asia	42.0378	44.7751	46.7359	48.0892	49.44	52.6981	54.7773	56.9875	58.8256	60.6429	62.6248	64.4692	66.4742	68.2067	2023
1832	Eastern and South-Eastern Asia	44.1602	45.4968	47.9329	53.5646	57.104	59.8999	62.8284	64.8041	66.632	68.2467	69.8719	71.3727	72.6944	73.6638	2023
1830	Latin America and the Caribbean	48.232	51.2134	53.7741	55.7588	57.7392	59.8164	61.6139	63.683	65.2219	67.0115	68.6469	70.0771	71.2319	71.7596	2023
1835	Oceania (excluding Australia and New Zealand)	41.8203	45.7751	48.7824	51.699	54.2035	56.6425	58.3791	59.6674	60.7697	61.5634	62.1033	62.6821	63.4746	64.2507	2023
1836	Australia/New Zealand	66.9538	67.7296	67.9703	67.7817	68.5483	70.0814	71.6241	72.832	74.5702	75.9269	77.6936	79.0575	80.2098	80.9327	2023
1829	Europe and Northern America	62.1306	65.1075	66.459	66.7714	67.214	67.7546	68.5466	69.7439	69.3506	70.2355	71.0087	72.715	74.5327	75.4367	2023
5502	Europe, Northern America, Australia, and New Zealand	62.2024	65.1497	66.4852	66.7905	67.2396	67.7965	68.6014	69.8007	69.4475	70.3431	71.137	72.8431	74.6542	75.5591	2023
901	More developed regions	62.0957	65.0632	66.5178	67.0109	67.6054	68.305	69.1627	70.3811	70.1515	71.0652	71.8953	73.5206	75.2297	76.1429	2023
902	Less developed regions	42.0804	44.1187	46.3881	49.908	52.2642	54.7211	56.9003	58.8877	60.3578	61.8967	63.6488	65.3982	67.1078	68.3318	2023
941	Least developed countries	36.4288	38.4333	40.605	42.2709	41.5074	44.1464	46.2898	47.9667	49.0515	51.8358	54.8907	57.5458	59.963	61.7192	2023
